ds,yhat,yhat_lower,yhat_upper
2021-09-20,329513.5378409965,265344.6469738219,397327.42544990906
2021-09-21,323106.6295495765,251422.196527114,390120.51652413246
2021-09-22,316773.3647828849,249903.4828204606,385496.8645710366
2021-09-23,319809.8063040774,254330.3357113089,388798.31781243
2021-09-24,313687.4343768531,247048.8934033246,383091.8034480048
2021-09-25,309017.0883559765,238359.52078224235,379163.8202505856
2021-09-26,313467.9639040448,243662.38012800895,375518.29606324324
2021-09-27,323292.97943522653,255027.8086859878,388007.9821945914
2021-09-28,316658.6767539425,253241.30444839806,382327.68855989416
2021-09-29,310378.66207458713,240841.46501459036,377182.3238845984
2021-09-30,313754.071964298,248812.1303947115,381736.332617405
2021-10-01,308253.27051359735,245073.32800749733,373329.1938249267
2021-10-02,304475.74755595304,238270.12834939384,373339.18803096394
2021-10-03,310071.30228886043,242302.62022201275,378428.3321733669
2021-10-04,321265.8230530498,253180.0969712966,391735.0588730673
2021-10-05,316191.81896885805,251528.4788759219,381381.5192938018
2021-10-06,311622.69412295107,241964.29308004776,375489.26041517215
2021-10-07,316814.22759164765,247878.87383353498,384333.0476669522
2021-10-08,313185.43904457137,254078.9416316262,384157.7015481825
2021-10-09,311283.7787110694,244338.9609800518,379157.9791450377
2021-10-10,318705.6913318297,251062.02919339502,384819.92134999
2021-10-11,331623.8274089009,264545.25262765994,394460.1413007821
2021-10-12,328119.01833841304,259644.97004728418,395266.3089113139
2021-10-13,324915.96642122336,255240.39895120353,393224.1690492996
2021-10-14,331226.0738748717,264786.8665526918,396816.3759079366
2021-10-15,328429.5530625717,259748.46680397374,396271.0347930936
2021-10-16,327041.7218918545,257692.7026695334,395407.37475981767
2021-10-17,334634.5028604414,267920.4642642738,400653.9368737285
2021-10-18,347364.37249136966,283212.0282655093,419508.49030791974
2021-10-19,343304.85650357936,275912.1367533342,409887.4805246672
2021-10-20,339182.5064213006,267273.8514740152,409982.0393860043
2021-10-21,344219.77284607023,279586.9763929414,414336.6906429159
2021-10-22,339816.9153645844,274253.85068956396,403131.4057734357
2021-10-23,336517.8575200523,274037.96026233636,406378.2086342011
2021-10-24,341931.01655270165,274579.969757979,410803.1541989859
2021-10-25,352256.3718900902,282230.46069802385,420218.7274568226
2021-10-26,345616.8912490313,278788.01284101733,417711.80909314234
2021-10-27,338793.2784586476,266991.5473235059,402759.23215514916
2021-10-28,341065.4911830164,269278.64670514985,412001.6547303774
2021-10-29,333893.204954456,270277.191819278,402229.8119779924
2021-10-30,327880.1708961195,263944.01259681006,397410.5319338703
2021-10-31,330693.53706954303,266233.2434159242,403886.7883706585
2021-11-01,338589.4382596518,271003.7270939435,407019.2971219561
2021-11-02,329743.01261669374,268045.0991265565,401334.84399159707
2021-11-03,320981.8471848554,256702.27172188618,389461.39636447094
2021-11-04,321626.3352808257,252848.0098817992,386545.27630842204
2021-11-05,313169.15296668035,246201.27887905735,379773.9669337803
2021-11-06,306238.8280025065,233867.12596327075,369553.9324776863
2021-11-07,308518.4916807148,240239.6339089441,377571.5551017381
2021-11-08,316271.1327222425,251649.79594463308,380878.395911597
2021-11-09,307669.51953830384,240647.2264346469,379063.86789306864
2021-11-10,299529.7940882583,227745.3724355327,370081.21448636486
2021-11-11,301152.2148018525,238931.98283814386,367949.17348483554
2021-11-12,294001.24379875825,226103.0596749044,363700.187485819
2021-11-13,288669.93362236384,222978.5809442931,351335.6904684193
2021-11-14,292799.68010149576,225443.1946607875,361472.27828894585
2021-11-15,302606.6318025895,237442.85142252807,371386.54486638977
2021-11-16,296212.88954718714,229573.3455149738,368319.97338966525
2021-11-17,290381.46330937615,222826.83889641313,358837.38302601693
2021-11-18,294358.4257459704,227462.39443849344,364286.6858689332
2021-11-19,289554.4185617306,222232.35748907767,354372.09214402747
2021-11-20,286510.42779350094,217288.2775348631,358272.46984306636
2021-11-21,292818.8567316488,225132.6882114944,366036.5556961104
2021-11-22,304651.15127167496,233343.85627546825,376091.9421248182
2021-11-23,300090.0787436836,228306.0673975864,368612.31540271256
2021-11-24,295865.5991705915,228602.89116748434,365609.9971181993
2021-11-25,301197.7449216031,232604.70227863643,371010.8336515382
2021-11-26,297478.6469901438,233123.3537262566,366319.781781096
2021-11-27,295238.61218552815,229335.27347728683,367721.78264804016
2021-11-28,302067.2743999718,235761.8336036244,372037.8987537226
2021-11-29,314141.07561262674,247843.16672952933,384618.0096732578
2021-11-30,309555.18489266455,238049.5323965631,377117.15060975234
2021-12-01,305058.80765211774,234252.76392874034,373981.0260716689
2021-12-02,309897.32007428014,242009.21734052245,382215.85296586965
2021-12-03,305493.3909726103,233627.74554773117,371646.9891510385
2021-12-04,302412.02372876403,239205.77233520162,371479.8652355717
2021-12-05,308280.5733090161,241055.70813398153,372338.1581941992
